provinsi,jenis,daerah,tahun,periode,gk,gk_scaled,provinsi_encoded,jenis_encoded,daerah_encoded,periode_encoded,gk_category,cluster,pca1,pca2
ACEH,NONMAKANAN,PERDESAAN,2015,SEPTEMBER,87682.0,0.04746069912966679,0,1,0,1,Sangat Rendah,1,-217228.72056195108,-16.97489281528247
ACEH,NONMAKANAN,PERDESAAN,2016,MARET,88288.0,0.04819588441819669,0,1,0,0,Sangat Rendah,1,-216622.72055846197,-16.971540921964483
ACEH,NONMAKANAN,PERDESAAN,2016,SEPTEMBER,90972.0,0.051452051603698735,0,1,0,1,Sangat Rendah,1,-213938.7205583834,-16.965698734995296
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2015,MARET,93744.0,0.05481497836905331,0,1,1,0,Sangat Rendah,1,-211166.72056179986,-16.96171144388105
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2015,SEPTEMBER,96344.0,0.05796923868287795,0,1,1,1,Sangat Rendah,1,-208566.72056172043,-16.956050294726744
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2016,MARET,98155.0,0.06016630230916118,0,1,1,0,Sangat Rendah,1,-206755.7205582434,-16.950101370850042
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2016,SEPTEMBER,101217.0,0.0638810504172116,0,1,1,1,Sangat Rendah,1,-203693.72055816854,-16.943444513713885
ACEH,NONMAKANAN,PERKOTAAN,2017,MARET,127858.0,0.0962013000405201,0,1,2,0,Sangat Rendah,1,-177052.7205546227,-16.883807600340926
ACEH,NONMAKANAN,PERKOTAAN,2017,SEPTEMBER,132061.0,0.10130028315552203,0,1,2,1,Sangat Rendah,1,-172849.72055455932,-16.874691646219297
ACEH,NONMAKANAN,PERKOTAAN,2018,MARET,134561.0,0.10433322576496878,0,1,2,0,Sangat Rendah,1,-170349.72055108918,-16.86725778121815
ACEH,NONMAKANAN,PERKOTAAN,2018,SEPTEMBER,136434.0,0.10660550636796631,0,1,2,1,Sangat Rendah,1,-168476.72055100245,-16.863163471247404
ACEH,NONMAKANAN,PERDESAAN,2017,MARET,94463.0,0.0556872526635302,0,1,0,0,Sangat Rendah,1,-210447.72055492317,-16.956129054820963
ACEH,NONMAKANAN,PERDESAAN,2017,SEPTEMBER,96799.0,0.05852123423779725,0,1,0,1,Sangat Rendah,1,-208111.72055484107,-16.951036881656286
ACEH,NONMAKANAN,PERDESAAN,2018,MARET,100825.0,0.06340548501605034,0,1,0,0,Sangat Rendah,1,-204085.72055138618,-16.940314163018122
ACEH,NONMAKANAN,PERDESAAN,2018,SEPTEMBER,104778.0,0.06820117387010757,0,1,0,1,Sangat Rendah,1,-200132.7205513203,-16.931737011916976
